Code,Plot,Tree,TrHist,Species,DBH,DBHcm,PlotSize,Year,BasalArea,Equation
1102_2021,57,452,10,531,14.1,35.814,SAW,2021,1007.3851391937352,3
1103_2021,57,667,10,531,12.5,31.75,SAW,2021,791.7304360898402,3
1104_2021,57,529,10,531,13,33.02,SAW,2021,856.3356396747714,3
1105_2021,57,780,30,531,10.9,27.686,SAW,2021,602.0191559157371,3
1106_2021,57,91,10,318,26.7,67.818,SAW,2021,3612.2669477381514,1
1107_2021,57,668,10,371,14.5,36.83,SAW,2021,1065.3524748024888,2
1109_2021,58,12,10,371,13,33.02,SAW,2021,856.3356396747714,2
111_2021,6,780,31,541,5.8,14.732,POLE,2021,170.45639596839823,7
1110_2021,58,13,10,371,16,40.64,SAW,2021,1297.171146489594,2
1111_2021,58,17,10,318,16.5,41.910000000000004,SAW,2021,1379.511111842938,1
1112_2021,58,18,10,318,26,66.04,SAW,2021,3425.3425586990857,1
1113_2021,58,537,10,531,14.3,36.322,SAW,2021,1036.1661240064732,3
1114_2021,58,22,10,318,29,73.66,SAW,2021,4261.409899209955,1
1115_2021,58,455,10,318,16,40.64,SAW,2021,1297.171146489594,1
1116_2021,58,538,10,531,13,33.02,SAW,2021,856.3356396747714,3
1117_2021,58,24,10,541,21,53.34,SAW,2021,2234.5799828199656,7
1118_2021,58,539,10,541,13.9,35.306000000000004,SAW,2021,979.0095203642757,7
1119_2021,58,630,10,371,11.9,30.226000000000003,SAW,2021,717.5484611499667,2
112_2021,6,652,10,541,8,20.32,POLE,2021,324.2927866223985,7
1120_2021,58,227,10,371,17.9,45.465999999999994,SAW,2021,1623.541433776292,2
1121_2021,58,631,10,531,13.4,34.036,SAW,2021,909.8439494674669,3
1122_2021,59,27,10,318,22.1,56.13400000000001,SAW,2021,2474.809998660089,1
1123_2021,59,738,31,371,4.6,11.684,POLE,2021,107.2193025770305,2
1124_2021,59,669,10,375,7.4,18.796000000000003,POLE,2021,277.4730155537899,2
1125_2021,59,739,38,371,5.1,12.953999999999999,POLE,2021,131.79461531325913,2
1127_2021,59,671,10,371,7.6,19.304,POLE,2021,292.6742399267146,2
